,tag_id,name,color,created,modified
0,1,diagram,,2025-04-28 12:06:39,2025-04-28 12:06:39
1,2,geometry,,2025-04-28 12:07:18,2025-04-28 12:07:18
2,3,harp,,2025-04-28 12:14:11,2025-04-28 12:14:11
3,4,organ,,2025-04-28 12:14:37,2025-04-28 12:14:37
4,5,music_instrument,,2025-04-28 12:17:10,2025-04-28 12:17:10
5,6,lute,,2025-04-28 12:17:12,2025-04-28 12:17:12
6,7,lace_pattern,,2025-04-28 12:17:16,2025-04-28 12:17:16
7,8,proportion,,2025-04-28 12:23:42,2025-04-28 12:23:42
8,9,clef,,2025-04-28 12:24:13,2025-04-28 12:24:13
9,10,algorithm,,2025-04-28 12:24:23,2025-04-28 12:24:23
10,11,bookwheel,,2025-04-28 12:25:39,2025-04-28 12:25:39
11,12,cogwheel,,2025-04-28 12:25:44,2025-04-28 12:25:44
12,13,diapente,,2025-04-28 12:26:50,2025-04-28 12:26:50
13,14,diatessaron,,2025-04-28 12:26:54,2025-04-28 12:26:54
14,15,diapason,,2025-04-28 12:26:57,2025-04-28 12:26:57
15,16,angel,,2025-04-29 10:34:18,2025-04-29 10:34:18
16,17,clavis_universalis,,2025-04-29 10:34:23,2025-04-29 10:34:23
17,18,magic_square,,2025-04-29 10:36:29,2025-04-29 10:36:29
18,19,basilisc,,2025-04-29 10:37:46,2025-04-29 10:37:46
19,20,sun,,2025-04-29 10:37:49,2025-04-29 10:37:49
20,21,moon,,2025-04-29 10:37:51,2025-04-29 10:37:51
21,22,chess,,2025-04-29 10:38:09,2025-04-29 10:38:09
22,23,library,,2025-04-29 10:38:48,2025-04-29 10:38:48
23,24,knowledge,,2025-04-29 10:38:51,2025-04-29 10:38:51
24,25,tree,,2025-04-29 10:39:06,2025-04-29 10:39:06
25,26,combinatorial_wheel,,2025-04-29 10:40:18,2025-04-29 10:40:18
26,27,rhetoric,,2025-04-29 10:40:21,2025-04-29 10:40:21
27,28,eloquence,,2025-04-29 10:40:31,2025-04-29 10:40:31
28,29,helm,,2025-04-29 10:41:43,2025-04-29 10:41:43
29,30,emblem,,2025-04-29 10:41:47,2025-04-29 10:41:47
30,31,art_of_memory,,2025-04-29 10:42:10,2025-04-29 10:42:10
31,32,fantasia,,2025-04-29 10:42:14,2025-04-29 10:42:14
32,33,wolf,,2025-04-29 13:29:16,2025-04-29 13:29:16
33,34,magic_lantern,,2025-04-29 13:43:18,2025-04-29 13:43:18
34,35,cross,,2025-04-29 13:43:32,2025-04-29 13:43:32
35,36,meridian,,2025-04-29 13:43:36,2025-04-29 13:43:36
36,37,typography,,2025-05-06 09:55:21,2025-05-06 09:55:21
37,38,design,,2025-05-06 09:55:24,2025-05-06 09:55:24
38,39,knight,,2025-05-06 10:30:04,2025-05-06 10:30:04
39,40,snail,,2025-05-06 10:30:21,2025-05-06 10:30:21
40,41,emotion,,2025-05-06 10:30:47,2025-05-06 10:30:47
41,42,Hermes,,2025-05-06 10:31:10,2025-05-06 10:31:10
42,43,Hermeticism,,2025-05-06 10:31:15,2025-05-06 10:31:15
43,44,duel,,2025-05-06 10:31:44,2025-05-06 10:31:44
44,45,snake,,2025-05-06 10:32:19,2025-05-06 10:32:19
45,46,lion,,2025-05-06 10:32:48,2025-05-06 10:32:48
46,47,animal,,2025-05-06 10:32:50,2025-05-06 10:32:50
47,48,gesture,,2025-05-06 10:34:03,2025-05-06 10:34:03
48,49,hand,,2025-05-06 10:34:05,2025-05-06 10:34:05
49,50,board_game,,2025-05-06 10:34:41,2025-05-06 10:34:41
50,51,goose_game,,2025-05-06 10:34:46,2025-05-06 10:34:46
